state,state_po,district,candidate,party,candidatevotes,totalvotes
OHIO,OH,12,TROY BALDERSON,REPUBLICAN,241790,437672
OHIO,OH,13,CHRISTINA M HAGAN,REPUBLICAN,148648,330801
OHIO,OH,13,MICHAEL FRICKE,LIBERTARIAN,8522,330801
OHIO,OH,13,TIM RYAN,DEMOCRAT,173631,330801
OHIO,OH,14,DAVID P JOYCE,REPUBLICAN,238864,397450
OHIO,OH,14,HILLARY O'CONNOR MUERI,DEMOCRAT,158586,397450
OHIO,OH,15,JOEL NEWBY,DEMOCRAT,140183,383361
OHIO,OH,15,SHANE HOFFMAN,WRITE-IN,75,383361
OHIO,OH,15,STEVE STIVERS,REPUBLICAN,243103,383361
OHIO,OH,16,AARON PAUL GODFREY,DEMOCRAT,144071,391406
OHIO,OH,16,ANTHONY GONZALEZ,REPUBLICAN,247335,391406
OKLAHOMA,OK,1,EVELYN L ROGERS,INDEPENDENT,12130,335471
OKLAHOMA,OK,1,KEVIN HERN,REPUBLICAN,213700,335471
OKLAHOMA,OK,1,KOJO ASAMOA-CAESAR,DEMOCRAT,109641,335471
OKLAHOMA,OK,2,DANYELL LANIER,DEMOCRAT,63472,288527
OKLAHOMA,OK,2,MARKWAYNE MULLIN,REPUBLICAN,216511,288527
OKLAHOMA,OK,2,RICHIE CASTALDO,LIBERTARIAN,8544,288527
OKLAHOMA,OK,3,FRANK D LUCAS,REPUBLICAN,242677,309178
OKLAHOMA,OK,3,ZOE MIDYETT,DEMOCRAT,66501,309178
OKLAHOMA,OK,4,BOB WHITE,LIBERTARIAN,10803,314358
OKLAHOMA,OK,4,MARY BRANNON,DEMOCRAT,90459,314358
OKLAHOMA,OK,4,TOM COLE,REPUBLICAN,213096,314358
OKLAHOMA,OK,5,KENDRA S HORN,DEMOCRAT,145658,303849
OKLAHOMA,OK,5,STEPHANIE BICE,REPUBLICAN,158191,303849
OREGON,OR,1,CHRISTOPHER C CHRISTENSEN,REPUBLICAN,161928,459899
OREGON,OR,1,SUZANNE BONAMICI,DEMOCRAT,297071,459899
OREGON,OR,1,WRITEIN,,900,459899
OREGON,OR,2,ALEX SPENSER,DEMOCRAT,168881,457433
OREGON,OR,2,CLIFF BENTZ,REPUBLICAN,273835,457433
OREGON,OR,2,ROBERT WERCH,LIBERTARIAN,14094,457433
OREGON,OR,2,WRITEIN,,623,457433
OREGON,OR,3,ALEX C DIBLASI,PACIFIC GREEN,8872,470506
OREGON,OR,3,EARL BLUMENAUER,DEMOCRAT,343574,470506
OREGON,OR,3,JOANNA HARBOUR,REPUBLICAN,110570,470506
OREGON,OR,3,JOSH SOLOMON,LIBERTARIAN,6869,470506
OREGON,OR,3,WRITEIN,,621,470506
OREGON,OR,4,ALEK SKARLATOS,REPUBLICAN,216081,467705
OREGON,OR,4,DANIEL HOFFAY,PACIFIC GREEN,10118,467705
OREGON,OR,4,PETER A DEFAZIO,DEMOCRAT,240950,467705
OREGON,OR,4,WRITEIN,,556,467705
OREGON,OR,5,AMY RYAN COURSER,REPUBLICAN,204372,452646
OREGON,OR,5,KURT SCHRADER,DEMOCRAT,234863,452646
OREGON,OR,5,MATTHEW JAMES RIX,LIBERTARIAN,12640,452646
OREGON,OR,5,WRITEIN,,771,452646
PENNSYLVANIA,PA,1,BRIAN K FITZPATRICK,REPUBLICAN,249804,441679
PENNSYLVANIA,PA,1,CHRISTINA FINELLO,DEMOCRAT,191875,441679
PENNSYLVANIA,PA,2,BRENDAN F BOYLE,DEMOCRAT,198140,273162
PENNSYLVANIA,PA,2,DAVID TORRES,REPUBLICAN,75022,273162
PENNSYLVANIA,PA,3,DWIGHT EVANS,DEMOCRAT,341708,375379
PENNSYLVANIA,PA,3,MICHAEL HARVEY,REPUBLICAN,33671,375379
PENNSYLVANIA,PA,4,KATHY BARNETTE,REPUBLICAN,179926,444563
PENNSYLVANIA,PA,4,MADELEINE DEAN CUNNANE,DEMOCRAT,264637,444563
PENNSYLVANIA,PA,5,DASHA PRUETT,REPUBLICAN,139552,395295
PENNSYLVANIA,PA,5,MARY GAY SCANLON,DEMOCRAT,255743,395295
PENNSYLVANIA,PA,6,CHRISSY J HOULAHAN,DEMOCRAT,226440,403966
PENNSYLVANIA,PA,6,JOHN WILLIAM EMMONS,REPUBLICAN,177526,403966
PENNSYLVANIA,PA,7,LISA SCHELLER,REPUBLICAN,181407,376882
PENNSYLVANIA,PA,7,SUSAN ELLIS WILD,DEMOCRAT,195475,376882
PENNSYLVANIA,PA,8,JAMES ROCCO BOGNET,REPUBLICAN,165783,343787
PENNSYLVANIA,PA,8,MATTHEW ALTON CARTWRIGHT,DEMOCRAT,178004,343787
PENNSYLVANIA,PA,9,DANIEL PHILIP MEUSER,REPUBLICAN,232988,351254
PENNSYLVANIA,PA,9,GARY STEVEN WEGMAN,DEMOCRAT,118266,351254
PENNSYLVANIA,PA,10,EUGENE A DEPASQUALE,DEMOCRAT,182938,391834
PENNSYLVANIA,PA,10,SCOTT G PERRY,REPUBLICAN,208896,391834
PENNSYLVANIA,PA,11,LLOYD K SMUCKER,REPUBLICAN,241915,383240
PENNSYLVANIA,PA,11,SARAH E HAMMOND,DEMOCRAT,141325,383240
PENNSYLVANIA,PA,12,FREDERICK B KELLER,REPUBLICAN,241035,340234
PENNSYLVANIA,PA,12,LEE GRIFFIN,DEMOCRAT,99199,340234
PENNSYLVANIA,PA,13,JOHN JOYCE,REPUBLICAN,267789,364401
PENNSYLVANIA,PA,13,RAYMOND TODD ROWLEY,DEMOCRAT,96612,364401
PENNSYLVANIA,PA,14,GUY RESCHENTHALER,REPUBLICAN,241688,373583
PENNSYLVANIA,PA,14,WILLIAM A MARX,DEMOCRAT,131895,373583
PENNSYLVANIA,PA,15,GLENN W THOMPSON JR,REPUBLICAN,255058,347214
PENNSYLVANIA,PA,15,ROBERT M WILLIAMS,DEMOCRAT,92156,347214
PENNSYLVANIA,PA,16,GEORGE J KELLY JR,REPUBLICAN,210088,354050
PENNSYLVANIA,PA,16,KRISTY MARIE GNIBUS,DEMOCRAT,143962,354050
PENNSYLVANIA,PA,17,CONOR J LAMB,DEMOCRAT,222253,434537
PENNSYLVANIA,PA,17,RICHARD SEAN PARNELL,REPUBLICAN,212284,434537
PENNSYLVANIA,PA,18,LUKE EDISON NEGRON,REPUBLICAN,118163,384247
PENNSYLVANIA,PA,18,MICHAEL F DOYLE JR,DEMOCRAT,266084,384247
RHODE ISLAND,RI,1,DAVID N CICILLINE,DEMOCRAT,158550,223860
RHODE ISLAND,RI,1,FREDERICK WYSOCKI,INDEPENDENT,35457,223860
RHODE ISLAND,RI,1,JEFFREY EDWARD LEMIRE,INDEPENDENT,28300,223860
RHODE ISLAND,RI,1,WRITEIN,,1553,223860
RHODE ISLAND,RI,2,JAMES R LANGEVIN,DEMOCRAT,154086,264557
RHODE ISLAND,RI,2,ROBERT B LANCIA,REPUBLICAN,109894,264557
RHODE ISLAND,RI,2,WRITEIN,,577,264557
SOUTH CAROLINA,SC,1,JOE CUNNINGHAM,DEMOCRAT,210627,427111
SOUTH CAROLINA,SC,1,NANCY MACE,REPUBLICAN,216042,427111
SOUTH CAROLINA,SC,1,WRITEIN,,442,427111
SOUTH CAROLINA,SC,2,ADAIR FORD BOROUGHS,DEMOCRAT,155118,364215
SOUTH CAROLINA,SC,2,JOE WILSON,REPUBLICAN,202715,364215
SOUTH CAROLINA,SC,2,KATHLEEN K WRIGHT,CONSTITUTION,6163,364215
SOUTH CAROLINA,SC,2,WRITEIN,,219,364215
SOUTH CAROLINA,SC,3,HOSEA CLEVELAND,DEMOCRAT,95712,333564
SOUTH CAROLINA,SC,3,JEFF DUNCAN,REPUBLICAN,237544,333564
SOUTH CAROLINA,SC,3,WRITEIN,,308,333564
SOUTH CAROLINA,SC,4,KIM NELSON,DEMOCRAT,133023,360550
SOUTH CAROLINA,SC,4,MICHAEL CHANDLER,CONSTITUTION,5090,360550
SOUTH CAROLINA,SC,4,WILLIAM R TIMMONS IV,REPUBLICAN,222126,360550
SOUTH CAROLINA,SC,4,WRITEIN,,311,360550
SOUTH CAROLINA,SC,5,MOE BROWN,DEMOCRAT,145979,366258
SOUTH CAROLINA,SC,5,RALPH NORMAN,REPUBLICAN,220006,366258
SOUTH CAROLINA,SC,5,WRITEIN,,273,366258
SOUTH CAROLINA,SC,6,JAMES E CLYBURN,DEMOCRAT,197477,289653
SOUTH CAROLINA,SC,6,JOHN MCCOLLUM,REPUBLICAN,89258,289653
SOUTH CAROLINA,SC,6,MARK HACKETT,CONSTITUTION,2646,289653
SOUTH CAROLINA,SC,6,WRITEIN,,272,289653
SOUTH CAROLINA,SC,7,MELISSA WARD WATSON,DEMOCRAT,138863,364091
SOUTH CAROLINA,SC,7,TOM RICE,REPUBLICAN,224993,364091
SOUTH CAROLINA,SC,7,WRITEIN,,235,364091
SOUTH DAKOTA,SD,0,DUSTY JOHNSON,REPUBLICAN,321984,397732
SOUTH DAKOTA,SD,0,"RANDY ""URIAH"" LUALLIN",LIBERTARIAN,75748,397732
TENNESSEE,TN,1,BLAIR WALSINGHAM,DEMOCRAT,68617,305423
TENNESSEE,TN,1,DIANA HARSHBARGER,REPUBLICAN,228181,305423
TENNESSEE,TN,1,JOSH BERGER,WRITE-IN,4,305423
TENNESSEE,TN,1,STEVE HOLDER,INDEPENDENT,8621,305423
TENNESSEE,TN,2,DAVID DOCKERY,WRITE-IN,7,353197
TENNESSEE,TN,2,MATTHEW L CAMPBELL,INDEPENDENT,4592,353197
TENNESSEE,TN,2,RENEE HOYOS,DEMOCRAT,109684,353197
TENNESSEE,TN,2,RONALD CORNELL JR,WRITE-IN,7,353197
TENNESSEE,TN,2,TIM BURCHETT,REPUBLICAN,238907,353197
TENNESSEE,TN,3,AMBER L HYSELL,INDEPENDENT,5043,320299
TENNESSEE,TN,3,"CHARLES J ""CHUCK"" FLEISCHMANN",REPUBLICAN,215571,320299
TENNESSEE,TN,3,KEITH DOUGLAS SWEITZER,INDEPENDENT,1990,320299
TENNESSEE,TN,3,MEG GORMAN,DEMOCRAT,97687,320299
TENNESSEE,TN,3,SCOTT D JAMES,WRITE-IN,8,320299
TENNESSEE,TN,4,CHRISTOPHER J HALE,DEMOCRAT,111908,335710
TENNESSEE,TN,4,SCOTT DESJARLAIS,REPUBLICAN,223802,335710
TENNESSEE,TN,5,JIM COOPER,DEMOCRAT,252155,252169
TENNESSEE,TN,5,NATISHA BROOKS,WRITE-IN,13,252169
TENNESSEE,TN,5,TREVOR KILLIAN MURPHY,WRITE-IN,1,252169
TENNESSEE,TN,6,CHRISTOPHER B MONDAY,INDEPENDENT,8154,349578
TENNESSEE,TN,6,CHRISTOPHER MARTIN FINLEY,DEMOCRAT,83852,349578
TENNESSEE,TN,6,JOHN W ROSE,REPUBLICAN,257572,349578
TENNESSEE,TN,7,KIRAN SREEPADA,DEMOCRAT,95839,350635
TENNESSEE,TN,7,MARK E GREEN,REPUBLICAN,245188,350635
TENNESSEE,TN,7,RONALD BROWN,INDEPENDENT,7603,350635
TENNESSEE,TN,7,SCOTT ANTHONY VIEIRA JR,INDEPENDENT,2005,350635
TENNESSEE,TN,8,DAVID KUSTOFF,REPUBLICAN,227216,331853
TENNESSEE,TN,8,ERIKA STOTTS PEARSON,DEMOCRAT,97890,331853
TENNESSEE,TN,8,JAMES HART,INDEPENDENT,3763,331853
TENNESSEE,TN,8,JON DILLARD,INDEPENDENT,2984,331853
TENNESSEE,TN,9,BOBBY LYONS,INDEPENDENT,2192,242880
TENNESSEE,TN,9,CHARLES SHAPPLEY,WRITE-IN,3,242880
TENNESSEE,TN,9,CHARLOTTE BERGMANN,REPUBLICAN,48818,242880
TENNESSEE,TN,9,DENNIS CLARK,INDEPENDENT,3962,242880
TENNESSEE,TN,9,STEVE COHEN,DEMOCRAT,187905,242880
TEXAS,TX,1,HANK GILBERT,DEMOCRAT,83016,302742
TEXAS,TX,1,LOUIE GOHMERT,REPUBLICAN,219726,302742
TEXAS,TX,2,DAN CRENSHAW,REPUBLICAN,192828,346726
TEXAS,TX,2,ELLIOTT ROBERT SCHEIRMAN,LIBERTARIAN,5524,346726
TEXAS,TX,2,SIMA LADJEVARDIAN,DEMOCRAT,148374,346726
TEXAS,TX,3,CHRISTOPHER J CLAYTOR,LIBERTARIAN,8621,418591
TEXAS,TX,3,LULU SEIKALY,DEMOCRAT,179458,418591
TEXAS,TX,3,VAN TAYLOR,REPUBLICAN,230512,418591
TEXAS,TX,4,LOU ANTONELLI,LIBERTARIAN,6334,337803
TEXAS,TX,4,PAT FALLON,REPUBLICAN,253837,337803
TEXAS,TX,4,RUSSELL FOSTER,DEMOCRAT,76326,337803
TEXAS,TX,4,TRACY JONES,WRITE-IN,1306,337803
TEXAS,TX,5,CAROLYN SALTER,DEMOCRAT,100743,280413
TEXAS,TX,5,KEVIN A HALE,LIBERTARIAN,5834,280413
TEXAS,TX,5,LANCE GOODEN,REPUBLICAN,173836,280413
TEXAS,TX,6,MELANIE A BLACK,LIBERTARIAN,10955,339992
TEXAS,TX,6,RON WRIGHT,REPUBLICAN,179507,339992
TEXAS,TX,6,STEPHEN DANIEL,DEMOCRAT,149530,339992
TEXAS,TX,7,LIZZIE FLETCHER,DEMOCRAT,159529,314125
TEXAS,TX,7,SHAWN KELLY,LIBERTARIAN,5542,314125
TEXAS,TX,7,WESLEY HUNT,REPUBLICAN,149054,314125
TEXAS,TX,8,CHRIS DUNCAN,LIBERTARIAN,7735,382471
TEXAS,TX,8,ELIZABETH HERNANDEZ,DEMOCRAT,97409,382471
TEXAS,TX,8,KEVIN BRADY,REPUBLICAN,277327,382471
TEXAS,TX,9,AL GREEN,DEMOCRAT,172938,229107
TEXAS,TX,9,JOHNNY TEAGUE,REPUBLICAN,49575,229107
TEXAS,TX,9,JOSE R SOSA,LIBERTARIAN,6594,229107
TEXAS,TX,10,MICHAEL T MCCAUL,REPUBLICAN,217216,413894
TEXAS,TX,10,MIKE SIEGEL,DEMOCRAT,187686,413894
TEXAS,TX,10,ROY ERIKSEN,LIBERTARIAN,8992,413894
TEXAS,TX,11,AUGUST PFLUGER,REPUBLICAN,232568,291773
TEXAS,TX,11,JON MARK HOGG,DEMOCRAT,53394,291773
TEXAS,TX,11,WACEY ALPHA CODY,LIBERTARIAN,5811,291773
TEXAS,TX,12,KAY GRANGER,REPUBLICAN,233853,367021
TEXAS,TX,12,LISA WELCH,DEMOCRAT,121250,367021
TEXAS,TX,12,TREY HOLCOMB,LIBERTARIAN,11918,367021
TEXAS,TX,13,GUS TRUJILLO,DEMOCRAT,50477,273508
TEXAS,TX,13,JACK B WESTBROOK,LIBERTARIAN,5907,273508
TEXAS,TX,13,RONNY JACKSON,REPUBLICAN,217124,273508
TEXAS,TX,14,ADRIENNE BELL,DEMOCRAT,118574,309115
TEXAS,TX,14,RANDY K WEBER SR,REPUBLICAN,190541,309115
TEXAS,TX,15,MONICA DE LA CRUZ-HERNANDEZ,REPUBLICAN,109017,228917
TEXAS,TX,15,ROSS LYNN LEONE,LIBERTARIAN,4295,228917
TEXAS,TX,15,VICENTE GONZALEZ,DEMOCRAT,115605,228917
TEXAS,TX,16,IRENE ARMENDARIZ-JACKSON,REPUBLICAN,84006,238114
TEXAS,TX,16,VERONICA ESCOBAR,DEMOCRAT,154108,238114
TEXAS,TX,17,PETE SESSIONS,REPUBLICAN,171390,306873
TEXAS,TX,17,RICK KENNEDY,DEMOCRAT,125565,306873
TEXAS,TX,17,TED BROWN,LIBERTARIAN,9918,306873
TEXAS,TX,18,LUKE SPENCER,LIBERTARIAN,4514,246895
TEXAS,TX,18,SHEILA JACKSON LEE,DEMOCRAT,180952,246895
TEXAS,TX,18,VINCE DUNCAN,INDEPENDENT,3396,246895
TEXAS,TX,18,WENDELL CHAMPION,REPUBLICAN,58033,246895
TEXAS,TX,19,JODEY C ARRINGTON,REPUBLICAN,198198,265052
TEXAS,TX,19,JOE BURNES,LIBERTARIAN,6271,265052
TEXAS,TX,19,TOM WATSON,DEMOCRAT,60583,265052
TEXAS,TX,20,JEFFREY BLUNT,LIBERTARIAN,6017,270723
TEXAS,TX,20,JOAQUIN CASTRO,DEMOCRAT,175078,270723
TEXAS,TX,20,MAURO GARZA,REPUBLICAN,89628,270723
TEXAS,TX,21,ARTHUR DIBIANCA,LIBERTARIAN,8666,453750
TEXAS,TX,21,CHIP ROY,REPUBLICAN,235740,453750
TEXAS,TX,21,TOMMY WAKELY,GREEN,3564,453750
TEXAS,TX,21,WENDY R DAVIS,DEMOCRAT,205780,453750
TEXAS,TX,22,JOSEPH LEBLANC JR,LIBERTARIAN,15791,408048
TEXAS,TX,22,SRI PRESTON KULKARNI,DEMOCRAT,181998,408048
TEXAS,TX,22,TROY NEHLS,REPUBLICAN,210259,408048
TEXAS,TX,23,BETO VILLELA,LIBERTARIAN,8369,295457
TEXAS,TX,23,GINA ORTIZ JONES,DEMOCRAT,137693,295457
TEXAS,TX,23,TONY GONZALES,REPUBLICAN,149395,295457
TEXAS,TX,24,BETH VAN DUYNE,REPUBLICAN,167910,344021
TEXAS,TX,24,CANDACE VALENZUELA,DEMOCRAT,163326,344021
TEXAS,TX,24,DARREN HAMILTON,LIBERTARIAN,5647,344021
TEXAS,TX,24,MARK BAUER,INDEPENDENT,2909,344021
TEXAS,TX,24,STEVE KUZMICH,INDEPENDENT,4229,344021
TEXAS,TX,25,BILL KELSEY,LIBERTARIAN,7738,393523
TEXAS,TX,25,JULIE OLIVER,DEMOCRAT,165697,393523
TEXAS,TX,25,ROGER WILLIAMS,REPUBLICAN,220088,393523
TEXAS,TX,26,CAROL H IANNUZZI,DEMOCRAT,161009,432215
TEXAS,TX,26,MARK BOLER,LIBERTARIAN,9243,432215
TEXAS,TX,26,MICHAEL C BURGESS,REPUBLICAN,261963,432215
TEXAS,TX,27,MICHAEL CLOUD,REPUBLICAN,172305,273253
TEXAS,TX,27,PHIL GRAY,LIBERTARIAN,5482,273253
TEXAS,TX,27,"RICARDO ""RICK"" DE LA FUENTE",DEMOCRAT,95466,273253
TEXAS,TX,28,BEKAH CONGDON,LIBERTARIAN,6425,235844
TEXAS,TX,28,HENRY CUELLAR,DEMOCRAT,137494,235844
TEXAS,TX,28,SANDRA WHITTEN,REPUBLICAN,91925,235844
TEXAS,TX,29,JAIMY Z BLANCO,REPUBLICAN,42840,156473
TEXAS,TX,29,PHIL KURTZ,LIBERTARIAN,2328,156473
TEXAS,TX,29,SYLVIA R GARCIA,DEMOCRAT,111305,156473
TEXAS,TX,30,EDDIE BERNICE JOHNSON,DEMOCRAT,204928,264464
TEXAS,TX,30,ERIC WILLIAMS,INDEPENDENT,10851,264464
TEXAS,TX,30,TRE PENNIE,REPUBLICAN,48685,264464
TEXAS,TX,31,CLARK PATTERSON,LIBERTARIAN,8922,398057
TEXAS,TX,31,DONNA IMAM,DEMOCRAT,176293,398057
TEXAS,TX,31,JOHN R CARTER,REPUBLICAN,212695,398057
TEXAS,TX,31,JONATHAN SCOTT,WRITE-IN,147,398057
TEXAS,TX,32,CHRISTY MOWREY PETERSON,LIBERTARIAN,4946,343687
TEXAS,TX,32,COLIN Z ALLRED,DEMOCRAT,178542,343687
TEXAS,TX,32,GENEVIEVE COLLINS,REPUBLICAN,157867,343687
TEXAS,TX,32,JASON SIGMON,INDEPENDENT,2332,343687
TEXAS,TX,33,CARLOS QUINTANILLA,INDEPENDENT,8071,157606
TEXAS,TX,33,FABIAN CORDOVA VASQUEZ,REPUBLICAN,39638,157606
TEXAS,TX,33,JASON REEVES,LIBERTARIAN,2586,157606
TEXAS,TX,33,MARC A VEASEY,DEMOCRAT,105317,157606
TEXAS,TX,33,RENE WELTON,INDEPENDENT,1994,157606
TEXAS,TX,34,ANTHONY CRISTO,LIBERTARIAN,3222,201027
TEXAS,TX,34,CHRIS B ROYAL,INDEPENDENT,2247,201027
TEXAS,TX,34,FILEMON VELA,DEMOCRAT,111439,201027
TEXAS,TX,34,REY GONZALEZ,REPUBLICAN,84119,201027
TEXAS,TX,35,JASON MATA SR,INDEPENDENT,5236,269797
TEXAS,TX,35,JENNY GARCIA SHARON,REPUBLICAN,80795,269797
TEXAS,TX,35,LLOYD DOGGETT,DEMOCRAT,176373,269797
TEXAS,TX,35,MARK LOEWE,LIBERTARIAN,7393,269797
TEXAS,TX,36,BRIAN BABIN,REPUBLICAN,222712,302549
TEXAS,TX,36,CHAD ABBEY,LIBERTARIAN,4848,302549
TEXAS,TX,36,HAL J RIDLEY JR,GREEN,1571,302549
TEXAS,TX,36,RASHAD LEWIS,DEMOCRAT,73418,302549
UTAH,UT,1,BLAKE DAVID MOORE,REPUBLICAN,237988,342351
UTAH,UT,1,DARREN PARRY,DEMOCRAT,104194,342351
UTAH,UT,1,MIKAL SMITH,WRITE-IN,12,342351
UTAH,UT,1,TAYLOR LEE,WRITE-IN,157,342351
UTAH,UT,2,CHRIS STEWART,REPUBLICAN,208997,354224
UTAH,UT,2,J ROBERT LATHAM,LIBERTARIAN,15465,354224
UTAH,UT,2,KAEL WESTON,DEMOCRAT,129762,354224
UTAH,UT,3,DANIEL CLYDE CUMMINGS,CONSTITUTION,8889,358927
UTAH,UT,3,DEVIN D THORPE,DEMOCRAT,96067,358927
UTAH,UT,3,JEREMY LEWIS FRIEDBAUM,WRITE-IN,7,358927
UTAH,UT,3,JOHN R CURTIS,REPUBLICAN,246674,358927
UTAH,UT,3,THOMAS G MCNEILL,UNITED UTAH,7040,358927
UTAH,UT,3,TREY ROBINSON,WRITE-IN,250,358927
UTAH,UT,4,BEN MCADAMS,DEMOCRAT,175923,376730
UTAH,UT,4,BURGESS OWENS,REPUBLICAN,179688,376730
UTAH,UT,4,JOHN MOLNAR,LIBERTARIAN,13053,376730
UTAH,UT,4,JONATHAN L PETERSON,WRITE-IN,29,376730
UTAH,UT,4,JONIA M BRODERICK,UNITED UTAH,8037,376730
VERMONT,VT,0,CHRISTOPHER HELALI,COMMUNIST,3432,370968
VERMONT,VT,0,JERRY TRUDELL,INDEPENDENT,1881,370968
VERMONT,VT,0,MARCIA HORNE,INDEPENDENT,4334,370968
VERMONT,VT,0,MIRIAM BERRY,REPUBLICAN,95830,370968
VERMONT,VT,0,OVERVOTES,,383,370968
VERMONT,VT,0,PETER R BECKER,INDEPENDENT,8065,370968
VERMONT,VT,0,PETER WELCH,DEMOCRAT,238827,370968
VERMONT,VT,0,SHAWN ORR,INDEPENDENT,1926,370968
VERMONT,VT,0,UNDERVOTES,,15748,370968
VERMONT,VT,0,WRITEIN,,542,370968
VIRGINIA,VA,1,QASIM RASHID,DEMOCRAT,186923,448178
VIRGINIA,VA,1,ROBERT J WITTMAN,REPUBLICAN,260614,448178
VIRGINIA,VA,1,WRITEIN,,641,448178
VIRGINIA,VA,2,ELAINE G LURIA,DEMOCRAT,185733,360277
VIRGINIA,VA,2,SCOTT W TAYLOR,INDEPENDENT,9170,360277
VIRGINIA,VA,2,SCOTT W TAYLOR,REPUBLICAN,165031,360277
VIRGINIA,VA,2,WRITEIN,,343,360277
VIRGINIA,VA,3,JOHN W COLLICK JR,REPUBLICAN,107299,341361
VIRGINIA,VA,3,"ROBERT C ""BOBBY"" SCOTT",DEMOCRAT,233326,341361
VIRGINIA,VA,3,WRITEIN,,736,341361
VIRGINIA,VA,4,A DONALD MCEACHIN,DEMOCRAT,241142,391345
VIRGINIA,VA,4,LEON BENJAMIN SR,REPUBLICAN,149625,391345
VIRGINIA,VA,4,WRITEIN,,578,391345
VIRGINIA,VA,5,B CAMERON WEBB,DEMOCRAT,190315,402317
VIRGINIA,VA,5,"ROBERT G ""BOB"" GOOD",REPUBLICAN,210988,402317
VIRGINIA,VA,5,WRITEIN,,1014,402317
VIRGINIA,VA,6,BEN CLINE,REPUBLICAN,246606,381813
VIRGINIA,VA,6,NICHOLAS A BETTS,DEMOCRAT,134729,381813
VIRGINIA,VA,6,WRITEIN,,478,381813
VIRGINIA,VA,7,ABIGAIL DAVIS SPANBERGER,DEMOCRAT,230893,454339
VIRGINIA,VA,7,NICK J FREITAS,REPUBLICAN,222623,454339
VIRGINIA,VA,7,WRITEIN,,823,454339
VIRGINIA,VA,8,DONALD S BEYER JR,DEMOCRAT,301454,397745
VIRGINIA,VA,8,JEFF A JORDAN,REPUBLICAN,95365,397745
VIRGINIA,VA,8,WRITEIN,,926,397745
VIRGINIA,VA,9,H MORGAN GRIFFITH,REPUBLICAN,271851,289274
VIRGINIA,VA,9,WRITEIN,,17423,289274
VIRGINIA,VA,10,ALISCIA N ANDREWS,REPUBLICAN,206253,475546
VIRGINIA,VA,10,JENNIFER WEXTON,DEMOCRAT,268734,475546
VIRGINIA,VA,10,WRITEIN,,559,475546
VIRGINIA,VA,11,GERALD E CONNOLLY,DEMOCRAT,280725,393241
VIRGINIA,VA,11,MANGA A ANANTATMULA,REPUBLICAN,111380,393241
VIRGINIA,VA,11,WRITEIN,,1136,393241
WASHINGTON,WA,1,JEFFREY BEELER SR,REPUBLICAN,176407,426862
WASHINGTON,WA,1,SUZAN K DELBENE,DEMOCRAT,249944,426862
WASHINGTON,WA,1,WRITEIN,,511,426862
WASHINGTON,WA,2,RICK LARSEN,DEMOCRAT,255252,404598
WASHINGTON,WA,2,TIMOTHY S HAZELO,REPUBLICAN,148384,404598
WASHINGTON,WA,2,WRITEIN,,962,404598
WASHINGTON,WA,3,CAROLYN LONG,DEMOCRAT,181347,417903
WASHINGTON,WA,3,JAIME HERRERA BEUTLER,REPUBLICAN,235579,417903
WASHINGTON,WA,3,WRITEIN,,977,417903
WASHINGTON,WA,4,DAN NEWHOUSE,REPUBLICAN,202108,305263
WASHINGTON,WA,4,DOUGLAS E MCKINLEY,DEMOCRAT,102667,305263
WASHINGTON,WA,4,WRITEIN,,488,305263
WASHINGTON,WA,5,CATHY MCMORRIS RODGERS,REPUBLICAN,247815,404360
WASHINGTON,WA,5,DAVE WILSON,DEMOCRAT,155737,404360
WASHINGTON,WA,5,WRITEIN,,808,404360
WASHINGTON,WA,6,DEREK KILMER,DEMOCRAT,247429,417216
WASHINGTON,WA,6,ELIZABETH KREISELMAIER,REPUBLICAN,168783,417216
WASHINGTON,WA,6,WRITEIN,,1004,417216
WASHINGTON,WA,7,CRAIG KELLER,REPUBLICAN,78240,466462
WASHINGTON,WA,7,PRAMILA JAYAPAL,DEMOCRAT,387109,466462
WASHINGTON,WA,7,WRITEIN,,1113,466462
WASHINGTON,WA,8,JESSE JENSEN,REPUBLICAN,198423,412112
WASHINGTON,WA,8,KIM SCHRIER,DEMOCRAT,213123,412112
WASHINGTON,WA,8,WRITEIN,,566,412112
WASHINGTON,WA,9,ADAM SMITH,DEMOCRAT,258771,349050
WASHINGTON,WA,9,DOUG BASLER,REPUBLICAN,89697,349050
WASHINGTON,WA,9,WRITEIN,,582,349050
WASHINGTON,WA,10,BETH DOGLIO,DEMOCRAT,121040,340407
WASHINGTON,WA,10,MARILYN STRICKLAND,DEMOCRAT,167937,340407
WASHINGTON,WA,10,WRITEIN,,51430,340407
WEST VIRGINIA,WV,1,DAVID B MCKINLEY,REPUBLICAN,180488,261723
WEST VIRGINIA,WV,1,NATALIE CLINE,DEMOCRAT,81177,261723
WEST VIRGINIA,WV,1,SHAWN COSNER,WRITE-IN,58,261723
WEST VIRGINIA,WV,2,ALEXANDER X MOONEY,REPUBLICAN,172195,272994
WEST VIRGINIA,WV,2,CATHY KUNKEL,DEMOCRAT,100799,272994
WEST VIRGINIA,WV,3,BELINDA FOX-SPENCER,WRITE-IN,156,226668
WEST VIRGINIA,WV,3,CAROL D MILLER,REPUBLICAN,161585,226668
WEST VIRGINIA,WV,3,HILARY TURNER,DEMOCRAT,64927,226668
WISCONSIN,WI,1,BRYAN STEIL,REPUBLICAN,238271,401754
