precinct,office,party,votes,county,candidate,district,year,state
10 JONES COMM_ CTR_,US SENATE,DEMOCRAT,153,AUTAUGA,DOUG JONES,STATEWIDE,2020,AL
10 JONES COMM_ CTR_,US SENATE,REPUBLICAN,218,AUTAUGA,TOMMY TUBERVILLE,STATEWIDE,2020,AL
100 TRINITY METHODIST,US SENATE,DEMOCRAT,371,AUTAUGA,DOUG JONES,STATEWIDE,2020,AL
100 TRINITY METHODIST,US SENATE,REPUBLICAN,1668,AUTAUGA,TOMMY TUBERVILLE,STATEWIDE,2020,AL
,,,,End,,,,
